OTU	k	p	c	o	f	g	s	OTU_lowest	Gut1	Gut2	Gut3	Gut4	Gut5	Gut6	percReads
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Lampropedia;s__	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Lampropedia		g__Lampropedia	0	0	0	0	0	77	0.061635009
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__;s__	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae			f__Oxalobacteraceae	0	0	0	81	0	0	0.064836827
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Arcobacter;s__cryaerophilus	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Arcobacter	cryaerophilus	Arcobacter cryaerophilus	0	0	0	0	0	11	0.008805001
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;__;__;__;__	Bacteria	Proteobacteria	Gammaproteobacteria					c__Gammaproteobacteria (1)	0	43	267	79	0	14	0.322583227
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__	Bacteria	Proteobacteria	Gammaproteobacteria					c__Gammaproteobacteria (2)	0	0	5	0	0	0	0.004002273
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;__;__	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae			f__Enterobacteriaceae (1)	0	0	168	0	0	64	0.185705481
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__;s__	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae			f__Enterobacteriaceae (2)	158	2284	19769	125	302	3640	21.03434751
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Brenneria;s__	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Brenneria		g__Brenneria	145	165	395	102	157	213	0.942135133
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Brenneria;s__quercina	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Brenneria	quercina	Brenneria quercina	2	19	99	0	38	0	0.126471836
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Enterobacter;s__cowanii	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacter	cowanii	Enterobacter cowanii	0	0	38	0	0	43	0.064836827
